index,example.X,example.D1,example.D2,example.D3,example.D4,example.D5,example.D6,example.D7,example.D8,example.D9,example.D10,example.D11,example.D12,example.D13,example.D14,example.D15,example.D16,example.D17,example.D18,example.D19,example.D20
20/01/2017,27.06455093,12.93801859,-34.32504112,7.089006208,-34.7621555,,-10.48905609,31.54845416,27.20437356,1.72459427,35.40911334,-0.350811888,0.195298277,-15.4844263,-40.41658533,11.51782667,13.76703388,18.3630964,-15.88806556,-26.24237948,11.4725783
13/01/2017,25.29197211,12.42744289,-34.41844138,7.491009294,-34.30152572,,-11.32079161,31.45263915,27.26581826,1.889534302,35.02933966,-0.99475683,0.307682825,-16.81837287,-38.44688114,11.63535042,12.38123364,18.45768316,-15.33023662,-27.1779156,12.06616504
06/01/2017,25.65406208,13.24028483,-34.48603298,7.422291089,-34.94391596,-4.313692109,-9.442962817,31.56494504,28.90451081,1.030512042,36.45253359,-2.753622097,0.07158191,-18.74530161,-41.89212814,12.11832197,11.62092158,18.5279378,-15.28730428,-26.62488538,10.85131263
30/12/2016,32.28894981,14.19987057,-36.67432917,7.775143552,-35.62233946,,-9.307027399,30.816576,29.15540046,0.064276992,36.18165196,-2.854081801,0.918460499,-16.60692432,-41.81323373,11.01435533,10.89376705,17.15258111,-15.78425862,-26.00448678,9.154545307
23/12/2016,31.62407534,15.00296214,-35.09735564,7.568684151,-36.70491047,,-10.84428304,32.09029273,28.78142062,0.361040509,35.02130117,-3.380029318,1.433850553,-15.55367154,-42.77417707,10.1331015,14.27425563,17.27524209,-14.29019857,-26.33401006,9.802076907
16/12/2016,28.46340495,14.05936144,-33.22493883,6.659711997,-37.20286083,,-10.84272015,32.26919029,29.27707614,2.689158433,34.59723885,-3.126332829,2.809090866,-14.89528969,-41.45534642,10.34090996,14.89961462,19.06481791,-14.23745977,-25.18162915,9.595202541
09/12/2016,27.34889596,14.11113675,-32.49385917,8.15377243,-38.36162361,-1.399780738,-9.335654858,33.23778475,27.96952806,2.256064722,35.79452338,-4.720504836,3.276059433,-15.37970987,-42.83448334,10.38998784,12.9948929,19.32517514,-14.25587523,-23.90259217,10.77404602
02/12/2016,26.46035928,13.44959785,-32.95152573,6.236105042,-40.23682869,,-10.21146914,31.71862455,28.12517903,3.405159663,35.21622048,-4.946596918,2.408046923,-15.01786041,-41.82877433,11.1312822,12.11108076,18.67430256,-15.06303707,-26.07854713,10.7483298
25/11/2016,23.60553837,13.4781563,-30.83955538,5.871340649,-39.17862558,,-10.10368824,32.46112702,28.64738759,3.22480456,33.13302682,-4.189791418,0.922976561,-15.60544188,-41.81183552,11.22485837,12.02368649,18.74915994,-13.54818409,-26.39673526,9.823806556
18/11/2016,21.98588981,12.68292467,-29.04846004,4.266435601,-37.9126413,,-9.476044466,31.28195587,29.86155068,4.381752241,31.24215883,-2.87295239,0.821710312,-15.72555647,-41.60717715,11.88529562,11.53548432,19.68535646,-14.05597331,-26.79325226,9.370927971
11/11/2016,23.0567328,12.04252277,-27.50489664,2.706127939,-39.11315733,,-8.342210064,30.41046647,30.55302386,4.503976737,29.51003362,-2.121539868,0.123787167,-14.1197152,-41.88660446,11.10870948,12.10955409,20.78306396,-14.78832228,-27.51827625,9.783530351
04/11/2016,22.78313159,12.47874646,-26.60611734,3.323001207,-39.61451768,0.065293098,-8.045100277,30.21539718,31.60702037,3.980894862,29.47375189,-0.435250503,0.421719256,-13.71701345,-40.26468602,11.42567857,12.78304197,19.71642516,-14.16623792,-26.17775663,10.84001179
28/10/2016,22.27082372,12.37016327,-28.22553617,1.984109919,-39.05971014,,-7.045083861,29.29383104,31.12116835,3.268527039,27.49784403,-0.266183535,-0.244193391,-13.6255725,-41.31584452,10.6850156,13.31242139,18.92412963,-13.91591589,-25.64761585,11.44536853
21/10/2016,21.41995716,11.73396863,-29.65897891,0.741403002,-38.67798416,,-6.657423186,28.33388153,29.9269957,4.384784869,28.00115538,1.067270333,0.703925846,-14.00168255,-40.67459799,8.98282364,13.47753629,20.07305657,-12.9190236,-24.89382114,13.18794294
14/10/2016,22.03030289,10.98464368,-27.60801813,-0.638914691,-38.55545399,,-8.274958415,28.31645602,29.32084617,3.655717765,27.15883705,0.109053012,-1.810788573,-14.03926945,-40.08709528,8.659046842,12.64694625,19.5432804,-14.98763124,-25.94402295,14.10553685
07/10/2016,20.28394581,11.35642838,-26.86247399,-1.341260867,-36.94993037,8.388935224,-8.574972426,28.40809807,29.00346929,3.427367936,27.98769186,0.875286791,-1.449553515,-14.51181739,-38.76564775,10.77247112,12.41757581,18.09755943,-14.98184117,-24.17765302,13.22934596
30/09/2016,19.88314885,11.18081462,-29.58420464,-3.346900959,-36.906634,,-8.051581972,27.78181771,28.94047253,3.6444822,27.22251394,1.806850242,-0.335624268,-14.17242297,-37.8095133,11.96739503,11.43118487,17.67924118,-14.77097645,-24.35540565,12.85711044
23/09/2016,20.04616007,11.82513671,-29.69041037,-3.422927256,-37.56671422,,-7.021692278,26.3464239,30.06372356,3.9515333,27.1877783,2.738533886,-0.742052266,-13.63870596,-36.00844702,14.06055018,10.49526766,16.36739897,-15.23398741,-24.08233782,12.61703566
16/09/2016,23.49796164,12.942668,-30.49427647,-4.293280449,-36.22046569,,-4.294697872,27.39129395,30.95597393,5.282551671,26.81176485,2.221150406,-0.528202296,-14.24720008,-37.84767249,13.98554924,10.98898252,16.21801423,-16.65051454,-24.16045348,11.89624749
09/09/2016,27.69887298,14.81196201,-30.307445,-4.884663128,-36.30161859,,-4.141735148,27.70006574,31.32671499,5.95983125,27.88644891,1.492335575,-1.090559182,-14.9282874,-37.25889845,14.87231949,11.50787962,16.37944548,-17.10488742,-23.3788103,12.93206049
02/09/2016,26.53591045,16.05319586,-29.16237599,-4.141885635,-37.1863141,8.172147634,-6.649902178,27.48683876,31.75496935,6.90270897,28.19873534,0.123704176,-1.554854027,-16.59656071,-38.81513946,15.16039187,12.4191964,16.20554543,-18.03970771,-22.60051066,12.72423519
26/08/2016,27.34008717,14.11834981,-28.64571466,-3.750092467,-35.48802004,,-8.023392147,27.8805479,30.24954084,6.583656622,29.5471628,0.568007286,-0.273733517,-16.06116772,-39.29373034,15.56382489,13.22093855,15.4291562,-20.90580962,-23.6404566,11.44534675
19/08/2016,29.9652666,16.48809864,-28.37515622,-3.584808728,-35.2164902,,-5.881855163,25.45020933,30.49245739,6.658552324,29.40363957,1.1916849,-3.27056298,-15.87226823,-40.48363408,14.79392641,12.06643382,16.18616335,-21.32832748,-21.98032896,9.867000891
12/08/2016,30.02419876,17.25736809,-28.09338853,-4.361942167,-35.52210689,,-7.044922839,25.42037484,30.74449429,8.077378693,29.54826849,1.632818904,-3.317459409,-15.03973286,-41.19311712,15.52947043,12.4949133,14.71471053,-20.7698789,-20.90158661,8.149590139
05/08/2016,28.85259728,17.99016778,-27.67265956,-4.71365696,-34.52026025,9.204210896,-6.823285831,25.38960314,30.86305054,8.085844669,27.94893738,0.402102898,-0.620134445,-15.45153286,-41.94594428,15.99027846,11.7882165,14.73306353,-20.62407485,-21.83309085,8.95862707
29/07/2016,26.98414428,18.18390054,-27.99649038,-6.045328676,-34.51058904,,-6.095230647,25.7374991,30.31340194,8.798432355,27.16249015,-0.084250679,0.380966276,-15.31792404,-41.92583263,14.5617325,10.89453586,13.34329387,-18.83638689,-20.96278727,8.444862642
22/07/2016,27.07606359,16.78069549,-27.66959529,-5.286962287,-35.04575831,,-6.165219882,25.82196405,31.50624488,9.48447576,28.23513903,-0.356470237,0.590885384,-15.78742662,-41.96831964,15.27754335,11.07120067,14.06100499,-18.43992148,-18.21532284,8.219205763
15/07/2016,28.42621592,17.93398471,-29.40220581,-5.573873779,-34.73291993,,-5.307894361,25.5337481,30.41024872,9.125896013,28.93943643,0.242045178,0.718524509,-14.72791307,-43.00491871,14.79618507,10.0115018,14.53927005,-17.01507895,-19.78456731,7.499840724
08/07/2016,27.46069468,18.12404529,-28.48835958,-5.13585115,-32.61227705,7.691141007,-5.563944679,25.02390428,29.37536928,9.518105937,27.83461529,1.222818086,1.860409455,-15.77580903,-43.28561528,17.2091742,10.35828524,14.18860945,-17.24036303,-19.31463307,8.640338944
01/07/2016,28.88253323,16.79720916,-27.88581416,-3.153356881,-33.00026733,,-8.237352353,24.94779536,27.32859204,8.863764389,27.65870758,0.74946953,2.440788401,-16.96700422,-43.32052851,18.06675351,9.66962545,15.61468877,-16.96753405,-19.90368459,8.798518463
24/06/2016,32.27856908,18.20666629,-30.61036015,-2.027275844,-32.3642337,,-7.764322163,25.44282344,27.71910056,8.637882084,27.13259439,0.848985928,3.70236144,-19.29556468,-42.58722576,18.40413805,8.902776478,15.39973274,-17.57316771,-19.25797888,8.289166722
17/06/2016,28.59845548,19.37694725,-31.09024433,-1.271042276,-33.9388739,,-8.196280184,25.31267717,28.65958157,10.57634557,28.27679485,0.466530847,4.015739236,-20.6179992,-42.01034431,18.17848795,9.797083422,14.42304586,-16.72016857,-19.52128718,9.229233678
10/06/2016,30.29092332,17.77896893,-31.39746665,-1.595885578,-33.91899016,,-8.057907754,25.40939232,29.59387642,11.98656527,26.22242087,-0.438905923,2.741332892,-19.79947693,-42.0663216,16.14947938,9.436689756,15.70068549,-16.12804159,-19.37357995,9.600017096
03/06/2016,27.71526178,18.53830937,-31.37406338,-2.330020299,-33.08934057,4.065968664,-9.988864558,24.95312296,29.7501108,11.72755503,25.37853944,0.310497802,1.339108688,-19.98409506,-41.42091895,15.13393949,8.110375142,15.06522856,-15.66780708,-20.77261341,9.681737024
27/05/2016,28.9527888,17.80620564,-31.88645905,-1.483051748,-33.69710859,,-9.559565706,25.75892739,30.55007622,10.94766892,26.60120397,-1.109458193,1.396628814,-20.92837379,-41.92106398,15.53353633,7.129474761,14.30043911,-13.14432439,-21.10284539,9.573576703
20/05/2016,29.16401539,19.05453695,-30.47917412,-0.391893813,-33.57296517,,-8.420154251,25.37611117,32.44235911,11.07217615,25.57253569,-2.780795269,1.396332049,-20.66863668,-42.44611673,16.90281256,5.938444346,14.08250396,-12.69757542,-21.98346152,9.191268768
13/05/2016,29.86462658,18.75563122,-29.37106103,1.417904349,-34.02855939,,-8.960869014,25.79269903,32.50856882,10.88997076,24.88457754,-0.736598908,3.09365259,-20.19237604,-42.74748393,18.64080646,6.426359643,13.0193492,-12.46636485,-22.91695362,10.0688677
06/05/2016,29.96751745,19.49349125,-28.28905389,3.637164902,-35.13380685,1.244415505,-8.511102408,25.02918623,33.59923727,9.350057164,25.54923917,-1.844627849,1.901339197,-19.6514246,-42.96394836,18.0933047,6.172848024,15.2856324,-12.34482321,-22.65233047,8.525799802
29/04/2016,31.54709831,20.63213545,-30.26025906,3.369300311,-35.12952664,,-7.082593259,26.6871271,34.83666326,10.18012142,26.00187163,-0.167157392,2.567644639,-20.81917135,-42.31408918,16.98864938,4.450958014,13.74680263,-11.10166436,-21.39270752,8.009141623
22/04/2016,28.4381258,20.50617043,-30.17566153,4.659200565,-34.86597064,,-9.135160515,28.15643054,33.99074869,11.8496559,26.80449723,-0.548901393,2.451123016,-21.3419411,-43.82439401,15.09431119,5.600192625,12.09680587,-12.60128343,-20.42167906,6.487782348
15/04/2016,28.98626152,19.02132611,-29.12351864,3.712774755,-35.19786327,,-8.911419084,28.89543102,34.93713261,11.14421588,25.86118313,1.152329441,2.672830525,-21.88668999,-43.42497455,13.95324957,6.081109174,11.8351324,-13.33362158,-19.68884287,7.991365095
08/04/2016,30.5562143,19.43113655,-28.63511577,4.496631167,-34.19664511,-0.238854303,-8.733101861,29.70921029,34.33585649,11.45046826,25.22545532,-0.058746684,2.729851663,-24.01585911,-42.22430268,15.44102577,4.75926745,12.25327775,-14.01153272,-18.74892355,9.522208516
01/04/2016,29.01940825,19.08286667,-28.5152926,4.009726062,-34.17706975,,-9.930477295,29.83350477,33.16875901,11.03114853,25.73618269,-0.430873231,3.005290917,-23.42247095,-42.27884194,14.69372123,6.19418858,13.15737663,-16.86829455,-16.50992173,10.21562102
25/03/2016,30.61758848,17.7980169,-28.33788966,3.557809064,-33.4401505,,-10.45592473,29.26498363,33.95360046,12.75857431,27.07828368,-2.044419852,3.419401242,-23.96735695,-44.72278605,14.69055172,6.492507443,12.72619213,-16.49529117,-16.89596069,9.935236235
18/03/2016,29.72870592,18.9015586,-29.41241912,4.147087646,-35.70855485,,-9.908892361,30.71333522,34.77009893,12.55177893,27.56603458,-1.065692491,3.46935959,-24.91355146,-46.46855455,14.24333119,6.887212825,13.05263785,-19.03926308,-16.56660502,10.13725878
11/03/2016,25.23787428,19.08016517,-30.34523414,5.48095124,-35.92977831,,-9.118717371,31.77234872,33.93051297,13.07313777,26.16288032,-2.236643034,4.195065411,-24.00253457,-46.464106,13.47279723,5.86345553,13.81866985,-18.20146812,-14.30236184,11.08157501
04/03/2016,26.27288886,17.26273468,-30.63177426,5.955981444,-34.19740976,-5.48263027,-7.738404571,33.44470427,34.98378499,13.63676108,26.17716054,-0.94097703,3.384706072,-21.40761752,-46.46966923,13.88682548,6.618359852,13.17123473,-18.04401567,-14.51222236,10.47627996
26/02/2016,24.97450743,17.54814235,-30.42664823,5.738929393,-33.06428712,,-8.233218745,33.53350822,34.2996725,12.8191965,24.93334128,-0.237754837,4.759601203,-21.36814627,-45.81505458,13.53400144,6.832729353,13.25833049,-17.35457167,-16.09322673,11.79791113
19/02/2016,21.19969843,16.8971988,-29.66913672,5.397983171,-32.65028571,,-8.27677606,31.96185606,34.32478101,14.36485352,23.47646208,0.524637493,5.230910803,-21.84678274,-45.47857891,11.44174438,6.8733044,12.9907108,-17.62718062,-15.6426663,11.89886002
12/02/2016,21.89541221,15.65976698,-28.14218757,6.370186808,-31.62233803,,-6.551910376,32.2710798,34.82224736,13.69230183,22.88001074,0.225773352,5.160581103,-23.76725886,-46.16027918,9.997118884,6.204266528,12.11804635,-16.64104373,-16.82033011,11.71564663
05/02/2016,21.24938005,15.63535981,-28.49352114,5.773990594,-31.93044044,-4.313692109,-6.552384358,32.18701273,35.36370938,14.8958515,23.10687181,-1.635326729,5.614897926,-22.21472244,-46.08286025,11.9254393,7.2423962,13.49889381,-14.06816812,-18.21095753,11.03958722
29/01/2016,17.50401124,15.83993637,-27.90877614,5.666590631,-30.07170401,,-6.874659433,31.61903533,34.34619881,15.46842365,22.15841702,-2.43549212,4.38635978,-21.76055228,-43.66778483,11.22333465,4.793153966,13.70909778,-13.5377089,-16.92729163,11.59841882
22/01/2016,16.25445922,14.13420364,-27.85528228,5.047271785,-28.26821495,,-5.82193465,32.86245295,35.2482572,16.60247935,20.78720445,-3.71561857,3.661132532,-21.67932361,-44.37409326,8.677984649,3.70278489,14.95570173,-12.17365646,-16.45394592,11.84907389
15/01/2016,15.61548057,13.22588965,-27.71736463,5.77462187,-29.29760494,,-6.212816005,34.97573556,34.7992394,16.68951462,21.86865286,-4.19810953,3.312618944,-21.85216025,-44.82058462,8.886228685,1.945518768,,-10.63592662,-17.00790327,11.90066064
08/01/2016,17.25920104,12.92663127,-26.89399237,5.430733598,-28.90689466,-1.399780738,-5.951463612,34.38565423,33.55048311,16.92471549,22.0576108,-4.325862283,3.101633166,-20.17384778,-44.88677632,8.520134511,1.790639089,,-9.942857004,-18.71872853,9.601381961
01/01/2016,13.88395615,13.50278291,-28.46656957,6.304618916,-29.63064229,,-6.357097029,34.00368895,32.70954514,16.90360759,23.68916261,-4.624953323,3.195227066,-20.47036858,-44.59669778,8.480101733,2.938729369,,-8.531074255,-18.03569003,10.31759258
25/12/2015,13.91692847,11.61386328,-28.35952804,5.808649641,-29.6035197,,-5.797000589,34.27404648,33.47324437,18.61029427,21.66147061,-4.800345577,4.200749851,-19.99751119,-44.45148916,8.850412959,1.238044853,,-8.58993542,-19.06010165,9.850306547
18/12/2015,13.5154617,11.90472345,-28.92452044,6.9025278,-28.31755014,,-4.51637602,34.9337539,32.45538208,16.58153968,23.04624565,-4.371555296,3.745613264,-19.30947866,-44.16786598,8.144016125,1.104643499,,-8.677012439,-17.30323678,9.856877122
11/12/2015,17.10500666,11.93235051,-29.02019539,6.129719383,-26.39261395,,-2.482060688,34.26085457,31.75963553,15.65419835,24.59382318,-4.879656498,6.350398747,-20.90079853,-42.68431549,8.070110283,0.367892165,,-9.852884945,-16.26224781,10.45966166
04/12/2015,16.32874165,13.7510708,-28.77907339,5.445203259,-25.06803776,0.065293098,-4.078758823,32.49113839,30.76288659,16.85173597,24.56368073,-6.114188619,5.527446615,-20.64482275,-42.88536746,7.882631726,1.081605317,,-9.961151017,-16.10260606,12.75666382
